id;date;titre;url;source_nom;theme
97;18/04/2026;My Workflow for Understanding LLM Architectures;https://magazine.sebastianraschka.com/p/workflow-for-understanding-llms;Ahead of AI;IA
96;17/04/2026;Behind the Blog: Jazz and Journalism;https://www.404media.co/behind-the-blog-jazz-and-journalism/;404 Media;Autre
95;17/04/2026;The Destroyed Remnants of a Lost World Are Falling to Earth, Scientists Discover;https://www.404media.co/the-destroyed-remnants-of-a-lost-world-are-falling-to-earth-scientists-discover/;404 Media;Autre
94;17/04/2026;FAA Scraps Civil and Criminal Penalties for Flying Drones Near ICE Vehicles;https://www.404media.co/faa-scraps-civil-and-criminal-penalties-for-flying-drones-near-ice-vehicles/;404 Media;IA
93;18/04/2026;Babies Born from Dead Parents Will Increase with New Tech. Are We Ready?;https://www.404media.co/babies-born-from-dead-parents-will-increase-with-new-tech-are-we-ready/;404 Media;IA
92;20/04/2026;Why Journalists Are Going Indie with Maddy Myers;https://www.404media.co/maddy-myers-mothership-interview/;404 Media;Autre
91;20/04/2026;Forbes Prediction Market Gamifies Story About Mass Shooting of 8 Children;https://www.404media.co/forbes-prediction-market-gamefies-story-about-mass-shooting-of-8-children/;404 Media;Autre
90;20/04/2026;Scientists Gave a Bunch of Salmon Cocaine. This Is What Happened Next;https://www.404media.co/scientists-gave-a-bunch-of-salmon-cocaine-this-is-what-happened-next/;404 Media;IA
88;16/04/2026;How Bad Data Modeling Quietly Breaks Analytics (And Why Most Data Engineers Don’t Notice);https://medium.com/data-engineer-things/how-bad-data-modeling-quietly-breaks-analytics-and-why-most-data-engineers-dont-notice-72640d9354f3;Medium;Data
87;16/04/2026;If You Understand These 5 AI Terms, You’re Ahead of 90% of People;https://pub.towardsai.net/if-you-understand-these-5-ai-terms-youre-ahead-of-90-of-people-c7622d353319;Medium;IA
86;16/04/2026;9 Python Libraries That Make Automation Ridiculously Easy;https://python.plainenglish.io/9-python-libraries-that-make-automation-ridiculously-easy-54e66e82a72d;Medium;Programmation
85;16/04/2026;Local LLMs That Can Replace Claude Code;https://agentnativedev.medium.com/local-llms-that-can-replace-claude-code-6f5b6cac93bf;Medium;IA
84;16/04/2026;Anthropic Just Released Claude Code Course (And I Earned My Certificate);https://medium.com/ai-software-engineer/anthropic-just-released-claude-code-course-and-i-earned-my-certificate-ad68745d46de;Medium;IA
83;16/04/2026;10 Data Models Every Data Engineer Must Know (Before They Break Production);https://medium.com/@Rohan_Dutt/10-data-models-every-data-engineer-must-know-before-they-break-production-11a020e87e31;Medium;Data
82;16/04/2026;Stanford's 2026 AI Index: Agentic AI Hiring Is Surging, But Data Interviews Still Test the Basics;https://www.interviewquery.com/p/stanford-ai-index-2026;Interview Query;Emploi
81;20/04/2025;On Jagged AGI: o3, Gemini 2.5, and everything after;https://www.oneusefulthing.org/p/on-jagged-agi-o3-gemini-25-and-everything;One Useful Thing;Autre
80;01/05/2025;Personality and Persuasion;https://www.oneusefulthing.org/p/personality-and-persuasion;One Useful Thing;Autre
79;22/05/2025;Making AI Work: Leadership, Lab, and Crowd;https://www.oneusefulthing.org/p/making-ai-work-leadership-lab-and;One Useful Thing;IA
78;01/06/2025;The recent history of AI in 32 otters;https://www.oneusefulthing.org/p/the-recent-history-of-ai-in-32-otters;One Useful Thing;IA
77;07/07/2025;"Against ""Brain Damage""";https://www.oneusefulthing.org/p/against-brain-damage;One Useful Thing;IA
76;23/06/2025;Using AI Right Now: A Quick Guide;https://www.oneusefulthing.org/p/using-ai-right-now-a-quick-guide;One Useful Thing;IA
